Country Name,Continent,Country Code,Indicator Name,Indicator Code,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,North America,ABW,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,,,0.0,1087875.7,12264016.6,1300000.0,130502793.3,184748603.4,-36983240.22,-17932960.89,-73184357.54,-5530726.257,85027932.96,197821229.1,113463687.2,467541899.4,-127932960.9,-266927374.3,332513966.5,159776536.3,-105698324.0,-207798005.9,220316139.7,-471005586.6,18882681.56,-10614525.14,186759776.5,488156424.6,-314692737.4,272088145.4,208344037.2,-26881396.99,27550827.1,162456842.3,144146269.4,-75226540.68,161066979.1,133545121.2,248150282.6,91445330.0
Africa Eastern and Southern,Africa,AFE,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,421709865.6,326490932.4,218888245.7,176559138.7,898515563.3,316834707.3,411261082.7,67103622.21,168439069.5,-12312370.24,483620276.5,372130053.3,581698643.4,86246455.02,598858245.3,106432296.3,411045300.7,279804684.3,536594623.8,400488555.9,94413056.91,1231958645.0,584154966.2,468485339.0,996945054.1,2400241387.0,1826204760.0,5355071163.0,3120227386.0,5656476039.0,3881361617.0,11467338844.0,5648325270.0,7353179757.0,6521900285.0,10198789523.0,7052533344.0,15838944006.0,22211340617.0,18166593836.0,13430620060.0,17122191723.0,23918001711.0,21895675454.0,27069454531.0,28169558191.0,15927498056.0,9513740668.0,12763546323.0,14154597572.0,12491288324.0,53552809031.0,19894922745.0,19670867887.0
Afghanistan,Asia,AFG,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,230000.0,450000.0,150000.0,270000.0,,,40000.0,-240000.0,,1200000.0,9000000.0,180000.0,100000.0,0.0,0.0,0.0,0.0,400000.0,0.0,0.0,,,,,,,,,,,,,,1000000.0,-700000.0,1500000.0,,,46033740.0,56107246.5,190774432.0,52173421.0,56823660.0,48311346.0,42975262.5,169146608.0,93591315.3,51533896.77,119435105.7,23404553.65,12970147.98,30790960.0,,
Africa Western and Central,Africa,AFW,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,407459999.6,388679999.7,476659999.0,642409999.5,518269117.7,969105150.5,605378805.5,778790474.9,751399198.6,785673507.8,-228089204.8,1172896062.0,878530340.4,768217164.3,338951391.0,893620026.8,204429670.6,1037919132.0,973621876.7,2569136448.0,745524745.9,1123098834.0,1195229142.0,1272495439.0,2098926062.0,676874492.4,958722677.2,1422874748.0,-141679614.8,1956400037.0,2714542156.0,1122510433.0,3186098058.0,3376793769.0,3001156796.0,7788379595.0,8555624804.0,11912181298.0,16188288961.0,16109418270.0,15550677631.0,21620043012.0,19277602686.0,18052551167.0,17102223922.0,14848472054.0,12470180649.0,11190691719.0,7892500878.0,9987318459.0,8734811204.0,14503269204.0,10222895719.0,6285591873.0
Angola,Africa,AGO,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,2399999.9,1860000.0,2160000.0,7540000.0,6690000.0,50000.0,-1169999.9,,1870000.0,2000000.0,37420000.0,49049999.9,115810000.0,104330000.0,67140000.0,278000000.0,234000000.0,119000000.0,131000000.0,200000000.0,-334800000.0,664500000.0,287956000.0,302100000.0,170300000.0,472427000.0,180559000.0,411660000.0,1113970000.0,2471460000.0,878620000.0,2145470000.0,1743504000.0,3576971780.0,2197227820.0,-1303836930.0,-37714860.0,-893342152.0,1678971010.0,2205298180.0,-3227211182.0,-3023770966.0,-1464627991.0,-7120017424.0,3657514667.0,10028215163.0,-179517618.9,-7397295409.0,-6456076413.0,-4098478748.0,-1866468113.0,-4355116553.0,-6598652652.0,-2119632186.0
Albania,Europe,ALB,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,20000000.0,58000000.0,53000000.0,70000000.0,90100000.0,47500000.0,45010000.0,41200000.0,143000000.0,207300000.0,135000000.0,178036400.7,341285112.5,262479012.6,325138316.8,652275603.7,1247181714.0,1345415234.0,1089898208.0,1048706682.0,917994575.8,1254150556.0,1149927986.0,989578334.8,1044389555.0,1022757857.0,1204383364.0,1201022154.0,1069744880.0,1218586452.0,1441381891.0,1620982551.0
Arab World,Asia And Africa,ARB,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,489809999.8,47852734.62,267977643.7,-691490283.8,-3399182607.0,1474964060.0,406538235.2,924430386.8,638527390.9,-137420541.9,-3211683186.0,7107307475.0,11797986204.0,5637820866.0,6253971511.0,2022484766.0,2333917876.0,12216556.79,1628746427.0,1312830828.0,2965072742.0,1539666831.0,1275659849.0,3668183811.0,5345517984.0,54557635.78,2900746749.0,6659528827.0,7698094086.0,3343045556.0,3359295858.0,4885560396.0,4740611376.0,9220368533.0,11359894231.0,28205410127.0,51626696958.0,64253180643.0,65011123058.0,37230110560.0,35832802133.0,26907063496.0,36878621043.0,33871022117.0,25020383160.0,29569608202.0,53863853652.0,34249251377.0,46940128416.0,38068745967.0,30442331974.0,64924757682.0,79425427153.0,65560411723.0
United Arab Emirates,Asia,ARE,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,7780000.0,6940000.0,10510000.0,3410000.0,1629999.9,15949999.9,49430000.0,112239999.9,39119999.9,64579999.9,97640000.0,-16940000.0,95060000.0,45539999.9,170240000.0,-220960000.0,110209999.9,46719999.9,188889999.9,38789999.9,-57651390.0,10441830.0,15196200.0,30759460.0,577000890.0,62466870.0,128613430.0,231131680.0,127300070.0,317106420.0,423667090.0,213701290.0,441116410.0,991150440.0,2208000000.0,3750300000.0,10891763100.0,14567733150.0,15820300000.0,2722900000.0,2015000000.0,2178000000.0,2536010990.0,8828337870.0,11735900000.0,16691600000.0,15711400000.0,14059946000.0,15079292000.0,21226160000.0,18937330000.0,22545950000.0,24833220000.0,22328110000.0
Argentina,South America,ARG,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,89769999.9,125670000.0,71719999.9,100250000.0,17920000.0,55590000.0,244680000.0,144000000.0,250000000.0,206000000.0,678000000.0,837000000.0,227000000.0,185000000.0,268000000.0,919000000.0,574000000.0,-19000000.0,1147000000.0,1028000000.0,1836000000.0,2439000000.0,4430977523.0,2793085410.0,3634931878.0,5609423404.0,6948536687.0,9160272052.0,7290657132.0,23987696390.0,10418314339.0,2166136830.0,2148910000.0,1652010000.0,4124710000.0,5265250000.0,5537347786.0,6473157762.0,9725553130.0,4017158925.0,11332718626.0,10839930945.0,15323933917.0,9821661858.0,5065335542.0,11758994011.0,3260164342.0,11516861462.0,11716769819.0,6649187838.0,4884127676.0,6658049679.0,15200600518.0,23866141440.0
Armenia,Asia,ARM,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,,,,,,,,,,800000.0,8000000.0,25320000.0,17570000.0,51940000.0,232375000.0,122034000.0,104188500.0,69868500.0,110725325.6,122852992.7,247140608.5,292073220.2,466531991.9,667671562.1,943733059.5,760040745.9,529321391.6,653219756.5,496636701.1,346092394.4,406578406.7,184127986.3,333823945.5,252747990.7,266855048.8,100287214.4,58582750.12,366445214.8,975658909.3,580365078.7
