Country Name,Continent,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,North America,ABW,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1087875.7,12264016.6,1300000,130502793.3,184748603.4,-36983240.22,-17932960.89,-73184357.54,-5530726.257,85027932.96,197821229.1,113463687.2,467541899.4,-127932960.9,-266927374.3,332513966.5,159776536.3,-105698324,-207798005.9,220316139.7,-471005586.6,18882681.56,-10614525.14,186759776.5,488156424.6,-314692737.4,272088145.4,208344037.2,-26881396.99,27550827.1,162456842.3,144146269.4,-75226540.68,161066979.1,133545121.2,248150282.6,91445330
Africa Eastern and Southern,Africa,AFE,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,421709865.6,326490932.4,218888245.7,176559138.7,898515563.3,316834707.3,411261082.7,67103622.21,168439069.5,-12312370.24,483620276.5,372130053.3,581698643.4,86246455.02,598858245.3,106432296.3,411045300.7,279804684.3,536594623.8,400488555.9,94413056.91,1231958645,584154966.2,468485339,996945054.1,2400241387,1826204760,5355071163,3120227386,5656476039,3881361617,11467338844,5648325270,7353179757,6521900285,10198789523,7052533344,15838944006,22211340617,18166593836,13430620060,17122191723,23918001711,21895675454,27069454531,28169558191,15927498056,9513740668,12763546323,14154597572,12491288324,53552809031,19894922745,19670867887
Afghanistan,Asia,AFG,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,230000,450000,150000,270000,,,40000,-240000,,1200000,9000000,180000,100000,0,0,0,0,400000,0,0,,,,,,,,,,,,,,1000000,-700000,1500000,,,46033740,56107246.5,190774432,52173421,56823660,48311346,42975262.5,169146608,93591315.3,51533896.77,119435105.7,23404553.65,12970147.98,30790960,,
Africa Western and Central,Africa,AFW,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,407459999.6,388679999.7,476659999,642409999.5,518269117.7,969105150.5,605378805.5,778790474.9,751399198.6,785673507.8,-228089204.8,1172896062,878530340.4,768217164.3,338951391,893620026.8,204429670.6,1037919132,973621876.7,2569136448,745524745.9,1123098834,1195229142,1272495439,2098926062,676874492.4,958722677.2,1422874748,-141679614.8,1956400037,2714542156,1122510433,3186098058,3376793769,3001156796,7788379595,8555624804,11912181298,16188288961,16109418270,15550677631,21620043012,19277602686,18052551167,17102223922,14848472054,12470180649,11190691719,7892500878,9987318459,8734811204,14503269204,10222895719,6285591873
Angola,Africa,AGO,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,2399999.9,1860000,2160000,7540000,6690000,50000,-1169999.9,,1870000,2000000,37420000,49049999.9,115810000,104330000,67140000,278000000,234000000,119000000,131000000,200000000,-334800000,664500000,287956000,302100000,170300000,472427000,180559000,411660000,1113970000,2471460000,878620000,2145470000,1743504000,3576971780,2197227820,-1303836930,-37714860,-893342152,1678971010,2205298180,-3227211182,-3023770966,-1464627991,-7120017424,3657514667,10028215163,-179517618.9,-7397295409,-6456076413,-4098478748,-1866468113,-4355116553,-6598652652,-2119632186
Albania,Europe,ALB,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,20000000,58000000,53000000,70000000,90100000,47500000,45010000,41200000,143000000,207300000,135000000,178036400.7,341285112.5,262479012.6,325138316.8,652275603.7,1247181714,1345415234,1089898208,1048706682,917994575.8,1254150556,1149927986,989578334.8,1044389555,1022757857,1204383364,1201022154,1069744880,1218586452,1441381891,1620982551
Andorra,Europe,AND,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,Asia And Africa,ARB,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,489809999.8,47852734.62,267977643.7,-691490283.8,-3399182607,1474964060,406538235.2,924430386.8,638527390.9,-137420541.9,-3211683186,7107307475,11797986204,5637820866,6253971511,2022484766,2333917876,12216556.79,1628746427,1312830828,2965072742,1539666831,1275659849,3668183811,5345517984,54557635.78,2900746749,6659528827,7698094086,3343045556,3359295858,4885560396,4740611376,9220368533,11359894231,28205410127,51626696958,64253180643,65011123058,37230110560,35832802133,26907063496,36878621043,33871022117,25020383160,29569608202,53863853652,34249251377,46940128416,38068745967,30442331974,64924757682,79425427153,65560411723
United Arab Emirates,Asia,ARE,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,7780000,6940000,10510000,3410000,1629999.9,15949999.9,49430000,112239999.9,39119999.9,64579999.9,97640000,-16940000,95060000,45539999.9,170240000,-220960000,110209999.9,46719999.9,188889999.9,38789999.9,-57651390,10441830,15196200,30759460,577000890,62466870,128613430,231131680,127300070,317106420,423667090,213701290,441116410,991150440,2208000000,3750300000,10891763100,14567733150,15820300000,2722900000,2015000000,2178000000,2536010990,8828337870,11735900000,16691600000,15711400000,14059946000,15079292000,21226160000,18937330000,22545950000,24833220000,22328110000
Argentina,South America,ARG,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,89769999.9,125670000,71719999.9,100250000,17920000,55590000,244680000,144000000,250000000,206000000,678000000,837000000,227000000,185000000,268000000,919000000,574000000,-19000000,1147000000,1028000000,1836000000,2439000000,4430977523,2793085410,3634931878,5609423404,6948536687,9160272052,7290657132,23987696390,10418314339,2166136830,2148910000,1652010000,4124710000,5265250000,5537347786,6473157762,9725553130,4017158925,11332718626,10839930945,15323933917,9821661858,5065335542,11758994011,3260164342,11516861462,11716769819,6649187838,4884127676,6658049679,15200600518,23866141440
Armenia,Asia,ARM,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800000,8000000,25320000,17570000,51940000,232375000,122034000,104188500,69868500,110725325.6,122852992.7,247140608.5,292073220.2,466531991.9,667671562.1,943733059.5,760040745.9,529321391.6,653219756.5,496636701.1,346092394.4,406578406.7,184127986.3,333823945.5,252747990.7,266855048.8,100287214.4,58582750.12,366445214.8,975658909.3,580365078.7
American Samoa,Oceania,ASM,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,North America,ATG,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,,,,2200000,-6900000,8500000,19600000,22400000,23000000,5000000,4400000,15600000,22600000,38596296.3,32951851.85,43107407.41,60607407.41,54792592.59,19648148.15,15240740.74,24788888.89,31485185.19,19351851.85,22944444.44,22774074.07,51792533.33,96504370.16,145813879.5,92910942.69,120216017.6,104576495.7,123754285.4,288731522.1,346552079,153573370.7,83981325.73,93722574.32,69631054.05,124833151,92885388.56,46263101.05,114024660.1,97431976.47,151271628.2,202333092.3,133908540.3,106204179.2,289857032.5,301726890.4,300597732.2
